paper,doi,canonical,paper_term,relevance
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,material substitution,replace Ag with copper,0.85
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,contact fingers,Cu paste printed fingers,0.82
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,contact resistivity,comparably low resistivity,0.8
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,metallization structure,novel metallization structure,0.78
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,reliability test,"damp heat (85 °C, 85% relative humidity) for 1000 h",0.78
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,thermal stress test,thermal stress (200 °C) for 1000 h,0.76
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,impurity diffusion,Cu in-diffusion,0.75
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,device stability,solar cells are stable,0.74
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,busbar material,Cu paste busbars,0.72
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,paste composition,screen printable Cu paste,0.7
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,solar cell cost reduction,reducing Ag utilization and cost,0.7
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,reference metallization,Ag paste printed cells,0.68
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,fabrication scalability,industrial equipment,0.65
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,cell type,industrial solar cells,0.63
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,humidity condition,85% relative humidity,0.62
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,industry scalability,industrial IBC solar cells,0.62
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,test duration,1000 h,0.6
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,solar industry growth,growth of the solar industry,0.55
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,contact metallization material,fire-through copper (Cu) paste,1.0
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,cell architecture,passivated emitter rear contact (PERC),1.0
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,substrate material,c-Si (crystalline silicon),0.95
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,device efficiency,19.250%,0.95
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,metallization method,screen printing,0.93
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,diffusion barrier,conductive oxide shell,0.92
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,reliability test,damp heat accelerated aging,0.92
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,firing technique,fire-through metallization,0.91
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,anti-reflection coating,silicon nitride (SiN),0.9
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,open circuit voltage,654 mV,0.9
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,fill factor,76.68%,0.9
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,short circuit current density,38.40 mA/cm²,0.9
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,firing peak temperature,630°C,0.88
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,accelerated test duration,"1,500 hours",0.88
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,degradation mechanism,Cu-Si interdiffusion,0.88
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,cell performance stability,"operational after 1,500 hours damp heat",0.88
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,reference contact material,screen printed Ag (silver) contacts,0.87
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,oxide shell thickness,200 nm oxide shell,0.85
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,module type,PERC mini-modules,0.85
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,particle morphology,Cu core with oxide shell,0.83
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,damp heat temperature,85°C,0.82
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,damp heat humidity,85% relative humidity,0.82
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,paste conductivity,conductive oxide layer,0.8
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,characterization method,SEM imaging,0.78
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,contact location,front side contacts,0.75
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,metallization material,copper,1.0
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,metallization technology,horizontal double-sided copper metallization,1.0
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,cell architecture,TOPCon solar cells,1.0
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,device efficiency,above 26%,0.95
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,carbon footprint,carbon footprint,0.95
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,batch average efficiency,average efficiency above 26%,0.95
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,metal contact formation,copper metallization technology,0.95
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,patterning method,ultrashort pulse laser,0.9
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,metallization side,double-sided (front and back) metallization,0.88
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,carbon emission,low carbon emissions,0.88
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,laser processing method,ultrashort pulse laser patterning,0.88
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,absorber material,silicon,0.85
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,cell manufacturing process,manufacturing process of TOPCon solar cells,0.85
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,conventional metallization material,metallic silver,0.82
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,environmental impact,low-carbon footprint products,0.82
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,metallization cost,low cost,0.8
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,manufacturing scalability,industrial mass production,0.8
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,electrode orientation,horizontal metallization,0.8
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,cell structure,structure of TOPCon solar cells,0.8
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,product certification,carbon footprint label,0.78
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,process uniformity,good uniformity,0.75
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,cell type compatibility,various types of silicon solar cells,0.75
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,process speed,fast speed,0.72
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,process complexity,simple process,0.7
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,market context,international photovoltaic market,0.65
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,cell metallization material,silver (Ag),1.0
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,metallization method,fine line screen printing,1.0
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,solar cell architecture,passivated emitter and rear contact (PERC) solar cells,0.95
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,screen opening width,15–24 µm screen openings,0.95
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,paste rheology,Ag-paste rheology,0.95
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,material consumption,Ag-consumption,0.93
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,metal paste,Ag-paste,0.93
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,electrode geometry,printed Ag-electrode geometry,0.92
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,printing speed,up to 600 mm s⁻¹,0.9
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,process reproducibility,reproducibility of the screen printing process,0.9
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,front-side metallization,front-side metallization,0.9
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,work of adhesion,work of adhesion at the paste–wire interface,0.88
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,paste-screen interaction,paste-screen interaction at narrow line widths,0.88
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,electrode height deviation,deviation of the printed electrode height,0.87
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,line width,narrow line widths,0.87
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,screen optimization,advanced screen optimization,0.85
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,paste-wire interface,paste–wire interface,0.85
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,electrode reproducibility metric,method for analyzing reproducibility of printed Ag-electrode geometries,0.83
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,photovoltaic production,photovoltaic production chain,0.82
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,trade-off analysis,trade-off between reproducibility and optimized electrode geometry,0.82
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,cell efficiency,cell efficiency,0.8
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,screen wire interaction,screen wire interface adhesion,0.8
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,industrial printing process,industrial printing speeds,0.78
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,material supply risk,material crisis,0.75
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,lab-scale analysis,lab-scale data sets,0.7
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,cell metallization method,Ni/Cu based metal plating,1.0
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,absorber material,silicon solar cells,0.97
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,seed layer material,nickel (Ni) seed layer,0.95
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,conducting layer material,copper (Cu) conducting layer,0.94
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,plating process,light induced plating (LIP),0.93
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,baseline metallization technology,screen printing,0.92
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,contact resistance,higher contact resistance,0.88
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,seed layer deposition technique,various deposition techniques for Ni seed layer,0.88
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,contact aspect ratio,lower aspect ratio,0.87
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,device efficiency,solar cell efficiency,0.86
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,metal paste material,silver pastes,0.85
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,electroplating layer,metal plating,0.85
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,patterning method,masking layer opening / patterning methods,0.84
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,wafer thickness,decreasing silicon wafer thicknesses,0.82
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,adhesion,adhesion of plated metal,0.8
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,background plating,back ground plating,0.79
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,silver consumption,lower quantity of silver usage,0.78
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,front contact formation,contact realization,0.77
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,process complexity,process complexity,0.76
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,industrial reliability,reliability for industrial applications,0.75
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,masking layer,masking layer,0.74
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,manufacturing cost,mounting cost of silver pastes,0.73
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,photovoltaic technology,silicon based photovoltaic industry,0.72
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,metallization review,detailed review of Ni/Cu based plating technique,0.7
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,pressing process,pressing process of screen printing,0.65
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,processing technique,photonic curing,1.0
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,absorber material,copper oxide ink,0.95
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,conductor material,copper traces,0.95
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,ink composition,low cost copper oxide ink,0.92
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,light source,flashlamps,0.9
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,processing tool,PulseForge®,0.88
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,chemical reaction process,chemically reacted using pulsed light,0.88
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,substrate type,plastic and paper,0.87
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,manufacturing method,roll-to-roll processing,0.85
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,electrical property,highly conductive,0.85
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,substrate temperature tolerance,low temperature substrates,0.82
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,deposition method,printed electronics,0.8
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,substrate flexibility,flexible substrates,0.8
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,processing duration,transient thermal processing,0.8
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,processing atmosphere,ambient atmosphere,0.78
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,film thickness,thin-film,0.75
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,substrate cost,inexpensive substrates,0.72
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,photovoltaics,0.7
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,product cost reduction,dramatically reduce the cost of the final product,0.7
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,substrate rigidity,rigid substrates,0.65
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,printed circuits,0.62
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,displays,0.6
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,solid state lighting,0.6
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,thin film batteries,0.6
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,RFID tags,0.58
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,sintering method,intense pulsed light (IPL) sintering,1.0
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,light source,xenon lamp pulsed white flash-light,0.95
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,annealing technique,IPL annealing,0.93
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,opto-thermal mechanism,opto-thermal phenomena,0.9
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,opto-chemical mechanism,opto-chemical phenomena,0.9
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,light irradiation,pulsed light irradiation,0.89
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,heating duration,extremely quick heating (several milliseconds),0.88
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,synergetic mechanism,opto-synergetic phenomena,0.88
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,fabrication platform,printed electronics,0.88
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,substrate material,polymer and paper substrates,0.87
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,heating mechanism,synergetic opto-chemical opto-thermal heating,0.87
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,processing atmosphere,ambient condition,0.85
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,processing temperature,room temperature process,0.85
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,substrate temperature tolerance,low temperature substrates,0.85
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,light pulse duration,pulsed light (millisecond-scale),0.84
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,target material,conductive layer,0.83
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,electrode application,conductive electrodes,0.82
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,material conversion,converts to desired conductive layer,0.81
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,substrate damage,without damage on substrates,0.8
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,manufacturing cost,low-cost manufacturing process,0.78
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,environmental impact,eco-benign manufacturing,0.76
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,process innovation,revolutionary eco-benign manufacturing route,0.73
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,process scalability,extensive applications of IPL techniques,0.72
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,review scope,brief history and various applications,0.7
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,technology adoption,attracted attention from researchers and industries,0.65
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,metallization material,Ag|Cu paste,1.0
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,cell architecture,PERC solar cells with transparent emitter,0.95
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,deposition method,screen-printing,0.95
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,fill factor,81%,0.92
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,series resistance,0.2 Ω-cm²,0.9
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,contact formation method,liquid phase sintering of nano/macro Ag|Cu particles,0.88
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,contact resistance,low contact resistance,0.87
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,firing process,contact firing optimization,0.86
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,reference metallization,Ag paste,0.85
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,sintering additive,glass frit with Cu metal,0.85
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,contact reliability,stability study on Ag|Cu contact,0.85
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,paste formulation,Ag|Cu formulation by SVMT,0.84
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,dopant diffusion risk,penetration of Cu into silicon bulk,0.83
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,particle morphology,"Cu particle size, morphology and loading",0.82
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,gridline resistance,gridline resistance,0.82
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,resistance component analysis,quantification of resistance components,0.81
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,antireflection coating,ARC,0.8
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,belt firing speed,fast belt speeds up to 375 inches per minute (ipm),0.8
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,bulk metal conductivity,bulk metal with very low series resistance,0.8
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,gridline geometry,narrow gridline screen designs,0.78
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,metallization cost,low-cost metallization,0.78
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,particle synthesis technology,cavitation technology by ACI,0.76
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,contact adhesion,adhesion,0.75
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,particle scale,nano/macro particles,0.74
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,substrate material,silicon bulk,0.7
